County,pop_2016,BrownvBuehler,Aaron Auer,Nick Chen,Kate Brown,Knute Buehler,Patrick Starnes,Chris Henry,Write-in,Other
Baker,16750,0.206170551,126,130,1557,5995,345,49,15,665
Benton,92575,0.639888856,345,687,26023,14645,1190,279,53,2554
Clackamas,413000,0.477315016,1744,2597,85679,93823,4472,865,336,10014
Clatsop,38820,0.517105344,232,287,8389,7834,576,123,32,1250
Columbia,51345,0.421996663,468,449,9105,12471,940,158,38,2053
Coos,63310,0.367779379,500,486,9442,16231,1236,252,53,2527
Crook,22105,0.209627475,139,105,2234,8423,417,40,24,725
Curry,22805,0.389214087,191,184,4056,6365,435,74,13,897
Deschutes,182930,0.447052089,727,1261,39050,48300,2662,429,112,5191
Douglas,111180,0.265720735,1264,713,11536,31878,2421,351,80,4829
Gilliam,1995,0.240088106,14,19,218,690,46,5,0,84
Grant,7415,0.18005618,56,46,641,2919,151,19,7,279
Harney,7360,0.17527339,63,28,577,2715,125,20,3,239
Hood River,25145,0.628788637,77,130,6286,3711,263,52,11,533
Jackson,216900,0.448326103,1267,1646,41233,50738,4126,691,150,7880
Jefferson,23190,0.320860969,144,109,2564,5427,379,41,10,683
Josephine,85650,0.331329869,841,725,11797,23808,1679,298,65,3608
Klamath,67690,0.247076198,547,632,6190,18863,1348,195,46,2768
Lake,8120,0.146522411,81,52,474,2761,154,14,5,306
Lane,370600,0.587434348,2091,3014,94957,66690,5584,1290,292,12271
Lincoln,47960,0.559466184,294,382,12367,9738,803,157,43,1679
Linn,124010,0.330601548,1167,1004,15894,32182,2213,401,160,4945
Malheur,31845,0.262558773,224,153,2122,5960,362,52,12,803
Marion,339200,0.460639036,1278,1407,43178,50557,2799,475,236,6195
Morrow,11890,0.248277928,108,67,829,2510,162,28,5,370
Multnomah,803000,0.771684404,1519,3690,253202,74914,5569,1851,522,13151
Polk,81000,0.443057302,467,552,14799,18603,1033,195,72,2319
Sherman,1800,0.205016358,15,7,188,729,32,2,1,57
Tillamook,26175,0.459109646,201,156,5569,6561,458,76,19,910
Umatilla,80500,0.308841256,318,342,5893,13188,776,98,58,1592
Union,26900,0.264381658,209,161,2854,7941,439,59,24,892
Wallowa,7195,0.288466988,49,43,1018,2511,136,18,4,250
Wasco,27100,0.437579431,173,194,4476,5753,418,83,19,887
Washington,595860,0.581350913,1337,2715,104056,74934,4097,799,253,9201
Wheeler,1480,0.210386152,10,15,158,593,38,3,0,66
Yamhill,106300,0.42153298,689,836,17274,23705,1458,278,86,3347
